127.0.0.1 - - [07/Jun/2022:09:13:55 +0900] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [07/Jun/2022:09:13:57 +0900] "GET /mvc HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jun/2022:09:13:59 +0900] "GET /mvc/ HTTP/1.1" 200 2365
0:0:0:0:0:0:0:1 - - [07/Jun/2022:09:13:59 +0900] "GET /mvc/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2022:09:13:59 +0900] "GET /mvc/js/jquery-3.6.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2022:09:13:59 +0900] "GET /mvc/images/Java-Servlets-JSP.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2022:09:14:03 +0900] "GET /mvc/photo/photoList HTTP/1.1" 200 4247
0:0:0:0:0:0:0:1 - - [07/Jun/2022:09:14:03 +0900] "GET /mvc/css/photo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2022:09:14:03 +0900] "GET /mvc/photo/morePage?cPage=1 HTTP/1.1" 200 992
0:0:0:0:0:0:0:1 - - [07/Jun/2022:09:14:03 +0900] "GET /mvc/upload/photo/20220418_175019576_86.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2022:09:14:03 +0900] "GET /mvc/upload/photo/20220418_174957191_842.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2022:09:14:03 +0900] "GET /mvc/upload/photo/20220418_174941759_108.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2022:09:14:03 +0900] "GET /mvc/upload/photo/20220418_125936088_36.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2022:09:14:03 +0900] "GET /mvc/upload/photo/20220418_174924429_849.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2022:09:14:11 +0900] "GET /mvc/photo/morePage?cPage=2 HTTP/1.1" 200 1024
0:0:0:0:0:0:0:1 - - [07/Jun/2022:09:14:11 +0900] "GET /mvc/upload/photo/20220418_174814411_4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2022:09:14:11 +0900] "GET /mvc/upload/photo/20220418_174856071_779.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2022:09:14:11 +0900] "GET /mvc/upload/photo/20220418_174910053_722.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2022:09:14:11 +0900] "GET /mvc/upload/photo/20220418_174800692_837.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2022:09:14:11 +0900] "GET /mvc/upload/photo/20220418_174839106_197.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2022:09:14:37 +0900] "POST /mvc/member/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jun/2022:09:14:37 +0900] "GET /mvc/photo/photoList HTTP/1.1" 200 3497
0:0:0:0:0:0:0:1 - - [07/Jun/2022:09:14:37 +0900] "GET /mvc/photo/morePage?cPage=1 HTTP/1.1" 200 992
0:0:0:0:0:0:0:1 - - [07/Jun/2022:09:14:38 +0900] "GET /mvc/photo/photoEnroll HTTP/1.1" 200 2587
